nombre,error,error_train,dif_error
RandomForest_100_20_1_175,0.022542491490586323,0.003701937220156321,0.01884055427043
RandomForest_10_10_1_20,0.02884657794227941,0.01041027774315249,0.01843630019912692
RandomForest_10_10_1_35,0.02614102086001359,0.007757424207272986,0.018383596652740603
RandomForest_10_10_1_50,0.02422834826688286,0.006212411091492475,0.018015937175390385
RandomForest_10_10_1_65,0.023987209831399563,0.006868667619542084,0.01711854221185748
RandomForest_10_10_1_80,0.025115466693161677,0.007046507617653516,0.01806895907550816
RandomForest_10_10_1_95,0.025586372329637938,0.006034326008453515,0.019552046321184423
RandomForest_10_10_1_110,0.02436142851071698,0.005649990005188634,0.018711438505528345
RandomForest_10_10_1_125,0.02442439791795826,0.0059278177969625,0.01849658012099576
RandomForest_10_10_1_140,0.02496756810385698,0.006853666996529809,0.018113901107327173
RandomForest_10_10_1_155,0.024041246149403058,0.005553626036211423,0.018487620113191636
RandomForest_10_10_1_170,0.02423965853377608,0.006355125444826582,0.017884533088949498
RandomForest_10_10_1_185,0.024002380875137702,0.005061937934244574,0.01894044294089313
RandomForest_10_10_1_200,0.023525060205732886,0.0057522777665366285,0.017772782439196257
RandomForest_10_10_5_20,0.03011589827392878,0.01974054590945651,0.010375352364472273
RandomForest_10_10_5_35,0.02885561212671083,0.01608338979616673,0.012772222330544099
RandomForest_10_10_5_50,0.02830785577386206,0.01490073269623327,0.01340712307762879
RandomForest_10_10_5_65,0.027999988349613755,0.013743891891329161,0.014256096458284594
RandomForest_10_10_5_80,0.025502744216205925,0.013208629172173606,0.012294115044032319
RandomForest_10_10_5_95,0.026074505806519085,0.01390051071799534,0.012173995088523746
RandomForest_10_10_5_110,0.025734205091856744,0.012879631881929874,0.01285457320992687
RandomForest_10_10_5_125,0.026237553828222127,0.013086336065732541,0.013151217762489585
RandomForest_10_10_5_140,0.025451572137593095,0.012452457810604929,0.012999114326988167
RandomForest_10_10_5_155,0.025180537790371407,0.013001732313534957,0.01217880547683645
RandomForest_10_10_5_170,0.02477758688323034,0.01291323000926144,0.0118643568739689
RandomForest_10_10_5_185,0.026256360635272445,0.012443297852371445,0.013813062782901
RandomForest_10_10_5_200,0.026618876864189858,0.012434908428203176,0.014183968435986682
RandomForest_10_10_9_20,0.03643877152683019,0.025605226007737042,0.01083354551909315
RandomForest_10_10_9_35,0.028633864767662696,0.01960902420087232,0.009024840566790374
RandomForest_10_10_9_50,0.028971628400816317,0.019908952102641608,0.00906267629817471
RandomForest_10_10_9_65,0.027758794611698088,0.018426403597871305,0.009332391013826782
RandomForest_10_10_9_80,0.028411352039358045,0.018377962554747555,0.01003338948461049
RandomForest_10_10_9_95,0.027463770903931168,0.017487066953278792,0.009976703950652376
RandomForest_10_10_9_110,0.0271432885062911,0.01801729928717662,0.009125989219114481
RandomForest_10_10_9_125,0.0266171987857928,0.01643310098217818,0.010184097803614619
RandomForest_10_10_9_140,0.027021670610127942,0.017406891414118476,0.009614779196009466
RandomForest_10_10_9_155,0.02699827678265843,0.017359267083137817,0.009639009699520612
RandomForest_10_10_9_170,0.027419732587047288,0.017716979544466042,0.009702753042581246
RandomForest_10_10_9_185,0.027213965606012348,0.016652764072609943,0.010561201533402405
RandomForest_10_10_9_200,0.028128901555714413,0.017148839984240608,0.010980061571473805
RandomForest_10_10_13_20,0.034975540225282986,0.026581754611845552,0.008393785613437434
RandomForest_10_10_13_35,0.0328774999968812,0.0254269009840314,0.0074505990128498
RandomForest_10_10_13_50,0.02963111599390871,0.022341599255653002,0.007289516738255706
RandomForest_10_10_13_65,0.030798188208505314,0.02204447526986555,0.008753712938639763
RandomForest_10_10_13_80,0.028086840180494836,0.022134161289858782,0.005952678890636054
RandomForest_10_10_13_95,0.029833575772656332,0.02079053667293051,0.009043039099725824
RandomForest_10_10_13_110,0.025968748620284008,0.020091813735691244,0.005876934884592764
RandomForest_10_10_13_125,0.028708778439115647,0.020263648343919347,0.0084451300951963
RandomForest_10_10_13_140,0.026671887437039434,0.02092879451314847,0.0057430929238909655
RandomForest_10_10_13_155,0.02802409985286735,0.020440267087912398,0.007583832764954952
RandomForest_10_10_13_170,0.027743274390846978,0.019863581767829267,0.007879692623017711
RandomForest_10_10_13_185,0.02862866897369712,0.020203874990364863,0.008424793983332256
RandomForest_10_10_13_200,0.02796886499694252,0.01994663840610047,0.008022226590842053
RandomForest_10_10_17_20,0.03968061094887071,0.03127571521862062,0.008404895730250092
RandomForest_10_10_17_35,0.03309764234604537,0.0275953728901227,0.005502269455922668
RandomForest_10_10_17_50,0.032385745992421305,0.024446721980645077,0.007939024011776229
RandomForest_10_10_17_65,0.031109221449758452,0.024634306142509037,0.006474915307249415
RandomForest_10_10_17_80,0.031313687411207825,0.02445984645364935,0.006853840957558473
RandomForest_10_10_17_95,0.031438192274775754,0.023991354966788263,0.007446837307987491
RandomForest_10_10_17_110,0.031388532751388205,0.023379876023878084,0.008008656727510121
RandomForest_10_10_17_125,0.029249018989563634,0.022621963985587832,0.006627055003975802
RandomForest_10_10_17_140,0.02989254418137313,0.023057417644133136,0.0068351265372399925
RandomForest_10_10_17_155,0.030028631701750776,0.023230463982333777,0.006798167719416999
RandomForest_10_10_17_170,0.027812535320801458,0.02199244611669903,0.0058200892041024264
RandomForest_10_10_17_185,0.02985627446792982,0.021943591972263896,0.007912682495665922
RandomForest_10_10_17_200,0.0289666451215908,0.022578554903478945,0.006388090218111854
RandomForest_10_30_1_20,0.026596953734460298,0.005144352520140755,0.021452601214319543
